text_id	sent_id	token	POS	char_start	char_end
3976	0	День	NOUN	0	4
3976	0	8-го	ADJ	5	9
3976	0	марта	NOUN	10	15
3976	0	прошёл	NOUN	16	22
3976	0	,	PUNCT	22	23
3976	0	можно	ADV	24	29
3976	0	и	PART	30	31
3976	0	итоги	NOUN	32	37
3976	0	подвести	VERB	38	46
3976	0	.	PUNCT	46	47
3976	1	Решил	VERB	48	53
3976	1	написать	VERB	54	62
3976	1	отзыв	NOUN	63	68
3976	1	о	ADP	69	70
3976	1	ресторане	NOUN	71	80
3976	1	в	ADP	81	82
3976	1	котором	PRON	83	90
3976	1	отметили	VERB	91	99
3976	1	прекрасный	ADJ	100	110
3976	1	весений	ADJ	111	118
3976	1	праздник	NOUN	119	127
3976	1	,	PUNCT	127	128
3976	1	прочитал	VERB	129	137
3976	1	отзывы	NOUN	138	144
3976	1	edik077	PROPN	145	152
3976	1	и	CCONJ	153	154
3976	1	Rules77777и	PROPN	155	166
3976	1	понял	VERB	167	172
3976	1	что	PRON	173	176
3976	1	либо	CCONJ	177	181
3976	1	мы	PRON	182	184
3976	1	были	AUX	185	189
3976	1	вразных	ADJ	190	197
3976	1	ресторанах	NOUN	198	208
3976	1	,	PUNCT	208	209
3976	1	либо	CCONJ	210	214
3976	1	у	ADP	215	216
3976	1	ребят	NOUN	217	222
3976	1	что	PRON	223	226
3976	1	-	PRON	226	227
3976	1	то	PRON	227	229
3976	1	незаладилось	VERB	230	242
3976	1	.	PUNCT	242	243
3976	2	Но	CCONJ	244	246
3976	2	теперь	ADV	247	253
3976	2	о	ADP	254	255
3976	2	ресторане	NOUN	256	265
3976	2	.	PUNCT	265	266
3976	3	Столик	NOUN	267	273
3976	3	бронировали	VERB	274	285
3976	3	заранее	ADV	286	293
3976	3	и	CCONJ	294	295
3976	3	сделали	VERB	296	303
3976	3	так	ADV	304	307
3976	3	как	SCONJ	308	311
3976	3	предложил	VERB	312	321
3976	3	администратор	NOUN	322	335
3976	3	т.е.	ADV	336	340
3976	3	сделали	VERB	341	348
3976	3	предварительный	ADJ	349	364
3976	3	заказ	NOUN	365	370
3976	3	,	PUNCT	370	371
3976	3	когда	SCONJ	372	377
3976	3	придя	VERB	378	383
3976	3	увидели	VERB	384	391
3976	3	полностью	ADV	392	401
3976	3	заполненый	VERB	402	412
3976	3	ресторан	NOUN	413	421
3976	3	поняли	VERB	422	428
3976	3	что	SCONJ	429	432
3976	3	совет	NOUN	433	438
3976	3	нам	PRON	439	442
3976	3	дали	VERB	443	447
3976	3	действительно	ADV	448	461
3976	3	правильный	ADJ	462	472
3976	3	,	PUNCT	472	473
3976	3	в	ADP	474	475
3976	3	ресторане	NOUN	476	485
3976	3	было	AUX	486	490
3976	3	человек	NOUN	491	498
3976	3	70	NUM	499	501
3976	3	-	NUM	501	502
3976	3	80	NUM	502	504
3976	3	,	PUNCT	504	505
3976	3	тут	ADV	506	509
3976	3	действительно	ADV	510	523
3976	3	горячее	ADJ	524	531
3976	3	блюдо	NOUN	532	537
3976	3	можно	ADV	538	543
3976	3	ждать	VERB	544	549
3976	3	весьма	ADV	550	556
3976	3	долго	ADV	557	562
3976	3	.	PUNCT	562	563
3976	4	Меню	NOUN	564	568
3976	4	достаточно	ADV	569	579
3976	4	разнообразное	ADJ	580	593
3976	4	и	CCONJ	594	595
3976	4	весьма	ADV	596	602
3976	4	вкусное	ADJ	603	610
3976	4	,	PUNCT	610	611
3976	4	мне	PRON	612	615
3976	4	и	CCONJ	616	617
3976	4	моим	DET	618	622
3976	4	друзьям	NOUN	623	630
3976	4	понравилось	VERB	631	642
3976	4	всё	DET	643	646
3976	4	что	SCONJ	647	650
3976	4	нам	PRON	651	654
3976	4	принесли	VERB	655	663
3976	4	,	PUNCT	663	664
3976	4	а	CCONJ	665	666
3976	4	принесли	VERB	667	675
3976	4	нам	PRON	676	679
3976	4	немало	ADV	680	686
3976	4	.	PUNCT	686	687
3976	5	Обслуживание	NOUN	688	700
3976	5	может	VERB	701	706
3976	5	и	PART	707	708
3976	5	не	PART	709	711
3976	5	самое	ADJ	712	717
3976	5	лучьшее	ADJ	718	725
3976	5	в	ADP	726	727
3976	5	городе	NOUN	728	734
3976	5	,	PUNCT	734	735
3976	5	но	CCONJ	736	738
3976	5	официанты	NOUN	739	748
3976	5	делали	VERB	749	755
3976	5	всё	PRON	756	759
3976	5	что	PRON	760	763
3976	5	нужно	ADJ	764	769
3976	5	.	PUNCT	769	770
3976	6	Должен	ADJ	771	777
3976	6	сказать	VERB	778	785
3976	6	что	PRON	786	789
3976	6	ждать	VERB	790	795
3976	6	нам	PRON	796	799
3976	6	всёравно	ADV	800	808
3976	6	пришлось	VERB	809	817
3976	6	,	PUNCT	817	818
3976	6	не	PART	819	821
3976	6	очень	ADV	822	827
3976	6	долго	ADV	828	833
3976	6	конечно	ADV	834	841
